gene_id,DRA,DRB,DRC,dr0199A,dr0199B,dr0199C,extracted_gene_id,wt_fpkm_average,mutant_fpkm_average
gene-DR_RS05110|DR_RS05110,92.676147,145.455353,140.576187,85.598892,157.016968,135.828217,DR_RS05110,126.23589566666668,126.14802566666667
gene-DR_RS16810|DR_RS16810,160.718018,94.877846,103.514786,142.606323,87.584938,73.455437,DR_RS16810,119.70355,101.21556600000001
gene-DR_RS06000|pucL,244.648849,277.826569,275.900238,1267.810547,1256.274414,993.142151,DR_RS06000,266.1252186666666,1172.4090373333333
gene-DR_RS13975|DR_RS13975,17.589939,10.547926,10.927316,4.275814,4.933116,18.390926,DR_RS13975,13.021727,9.199952
gene-DR_RS12390|DR_RS12390,477.565277,358.011261,355.901367,599.15564,375.475922,329.512329,DR_RS12390,397.15930166666664,434.7146303333334
gene-DR_RS06545|asnS,83.363411,71.14724,80.32486,95.851044,117.042854,97.696083,DR_RS06545,78.27850366666667,103.52999366666667
gene-DR_RS10400|DR_RS10400,59.22007,71.79454,86.612923,72.448158,90.109947,99.039894,DR_RS10400,72.542511,87.19933300000001
gene-DR_RS07390|DR_RS07390,4.675097,5.042778,4.407595,32.918335,37.845985,119.208504,DR_RS07390,4.70849,63.32427466666667
gene-DR_RS04735|DR_RS04735,20.395123,20.754206,19.356358,36.162975,32.248848,65.227104,DR_RS04735,20.168562333333334,44.546309
gene-DR_RS08360|DR_RS08360,13.195886,13.501602,14.754853,31.857876,33.942589,65.783943,DR_RS08360,13.817447000000001,43.86146933333333
gene-DR_RS06735|DR_RS06735,38.711094,34.274479,36.01878,67.806007,57.863735,96.745354,DR_RS06735,36.33478433333334,74.13836533333334
gene-DR_RS09290|DR_RS09290,220.15126,164.290024,178.617172,297.548645,267.354309,287.01825,DR_RS09290,187.686152,283.97373466666664
gene-DR_RS01825|DR_RS01825,28.561012,27.550142,33.289558,51.541183,39.196045,47.991394,DR_RS01825,29.80023733333333,46.24287399999999
gene-DR_RS15670|DR_RS15670,9.672108,18.270798,11.720201,37.166744,46.817188,114.277512,DR_RS15670,13.221035666666666,66.087148
gene-DR_RS13405|DR_RS13405,167.99028,151.379028,177.298141,255.166107,223.635056,268.662262,DR_RS13405,165.55581633333335,249.15447499999996
gene-DR_RS09505|gatA,57.827255,48.23914,50.749939,105.287781,101.664604,96.353737,DR_RS09505,52.27211133333333,101.10204066666665
gene-DR_RS09560|DR_RS09560,46.507828,28.416533,28.283268,87.705132,48.686253,74.473541,DR_RS09560,34.402543,70.28830866666668
gene-DR_RS08850|DR_RS08850,228.154495,210.788437,208.984772,143.229141,128.669144,88.502319,DR_RS08850,215.97590133333333,120.13353466666666
gene-DR_RS16275|DR_RS16275,2.875984,3.366201,2.7458,16.184942,17.781437,42.543499,DR_RS16275,2.995995,25.503292666666667
gene-DR_RS00200|DR_RS00200,244.480301,327.412079,363.848846,217.364105,447.331909,312.173431,DR_RS00200,311.913742,325.62314833333335
gene-DR_RS16430|DR_RS16430,20.468172,17.671389,18.696642,46.904308,41.188148,66.709282,DR_RS16430,18.945401,51.600579333333336
gene-DR_RS13290|yqeK,35.029373,37.601826,33.441624,147.442398,133.524399,255.853882,DR_RS13290,35.35760766666667,178.9402263333333
gene-DR_RS15750|DR_RS15750,11.349513,8.715075,8.090605,39.354019,36.503437,77.458267,DR_RS15750,9.385064333333334,51.105241
gene-DR_RS11665|DR_RS11665,11.564582,13.31789,11.685848,34.242527,26.084829,42.312244,DR_RS11665,12.18944,34.2132
gene-DR_RS06600|DR_RS06600,72.878342,36.6287,41.237949,93.564133,55.079239,62.471386,DR_RS06600,50.24833033333334,70.371586
gene-DR_RS00540|DR_RS00540,2.046409,1.350227,1.541481,23.472652,25.548462,61.929188,DR_RS00540,1.646039,36.983433999999995
gene-DR_RS07655|nuoK,109.976562,63.169983,68.439461,25.367414,17.805014,20.491293,DR_RS07655,80.52866866666666,21.22124033333333
gene-DR_RS05025|DR_RS05025,5.270949,5.996385,5.771483,33.687092,30.473576,56.398617,DR_RS05025,5.679605666666667,40.18642833333333
gene-DR_RS17085|DR_RS17085,4.35839,6.159973,5.595141,25.167625,28.333752,84.913269,DR_RS17085,5.371168,46.138215333333335
gene-DR_RS02105|DR_RS02105,174.6866,158.924118,164.728012,378.060547,160.201416,256.324921,DR_RS02105,166.11291000000003,264.8622946666666
gene-DR_RS01885|DR_RS01885,547.894531,381.712402,427.052795,527.609192,348.237244,291.558441,DR_RS01885,452.21990933333336,389.134959
gene-DR_RS14180|DR_RS14180,1.487878,0.684597,0.72187,1.32119,1.396608,4.059347,DR_RS14180,0.9647816666666666,2.2590483333333333
gene-DR_RS15135|DR_RS15135,15.830017,8.22071,7.990427,21.221504,14.655099,59.935764,DR_RS15135,10.680384666666669,31.937455666666665
gene-DR_RS10380|DR_RS10380,188.378326,150.389694,165.517883,263.258331,229.418564,192.179123,DR_RS10380,168.09530099999998,228.28533933333333
gene-DR_RS09750|DR_RS09750,39.194332,34.389561,34.642216,182.3358,245.606232,607.056519,DR_RS09750,36.07536966666667,344.999517
gene-DR_RS04415|DR_RS04415,315.377991,351.630127,380.265869,312.280518,288.180481,253.268036,DR_RS04415,349.09132900000003,284.57634499999995
gene-DR_RS09045|DR_RS09045,3917.871094,4645.031738,4762.848145,2871.000244,3614.217041,2390.14502,DR_RS09045,4441.916992333333,2958.4541016666662
gene-DR_RS06990|DR_RS06990,83.873711,89.121208,95.56456,89.143745,105.068672,190.949341,DR_RS06990,89.51982633333334,128.38725266666668
gene-DR_RS03615|DR_RS03615,2461.628174,1818.030518,2035.41687,1763.627197,1414.45105,1072.430298,DR_RS03615,2105.025187333333,1416.8361816666666
gene-DR_RS04205|DR_RS04205,200.577087,134.89827,136.332535,206.398483,125.811768,102.681084,DR_RS04205,157.26929733333336,144.96377833333332
gene-DR_RS16420|DR_RS16420,50.0378,35.274517,27.786541,121.447304,75.55793,133.785233,DR_RS16420,37.69961933333334,110.263489
gene-DR_RS15455|DR_RS15455,128.886154,106.628983,110.269188,134.72435,103.861008,80.105141,DR_RS15455,115.26144166666667,106.23016633333333
gene-DR_RS01475|DR_RS01475,9.401311,3.787834,1.782561,15.064861,10.383759,25.180998,DR_RS01475,4.990568666666666,16.87653933333333
gene-DR_RS09210|DR_RS09210,6.700986,4.946543,7.055783,17.155106,18.795736,46.445278,DR_RS09210,6.234437333333333,27.465373333333332
gene-DR_RS03830|DR_RS03830,12.616579,12.289268,10.269664,39.032684,48.47076,83.142838,DR_RS03830,11.725170333333333,56.882093999999995
gene-DR_RS10240|DR_RS10240,64.344383,61.733784,60.548294,76.379807,78.52066,82.855499,DR_RS10240,62.208820333333335,79.25198866666666
gene-DR_RS15865|DR_RS15865,50.818569,39.566212,48.629105,65.087967,48.873997,62.041927,DR_RS15865,46.337962000000005,58.66796366666667
gene-DR_RS12585|DR_RS12585,83.742073,50.931015,49.662491,110.993881,81.461121,124.862167,DR_RS12585,61.445192999999996,105.77238966666668
gene-DR_RS01985|DR_RS01985,53.262943,43.659584,51.648636,70.565132,79.603439,98.07444,DR_RS01985,49.523721,82.74767033333332
gene-DR_RS03010|DR_RS03010,233.63298,207.763718,212.104706,278.748566,262.820984,279.182617,DR_RS03010,217.83380133333333,273.58405566666664
gene-DR_RS09065|DR_RS09065,56.493542,171.515686,154.178665,91.509621,159.232407,223.890625,DR_RS09065,127.39596433333332,158.21088433333333
gene-DR_RS04665|DR_RS04665,58.139938,97.496704,99.503632,68.403893,90.661156,125.759224,DR_RS04665,85.046758,94.94142433333333
gene-DR_RS08135|DR_RS08135,3.327001,4.926419,5.761414,17.455994,19.940554,48.893936,DR_RS08135,4.671611333333334,28.763494666666663
gene-DR_RS04785|DR_RS04785,11.550895,6.778733,7.583229,59.767189,57.515472,148.571442,DR_RS04785,8.637618999999999,88.61803433333334
gene-DR_RS02210|DR_RS02210,24.370043,18.366785,16.097012,69.873062,69.47551,137.075684,DR_RS02210,19.61128,92.14141866666667
gene-DR_RS14075|DR_RS14075,0.795636,0.273685,0.459907,3.49372,4.187201,14.87039,DR_RS14075,0.5097426666666667,7.517103666666666
gene-DR_RS07035|DR_RS07035,65.659821,66.022652,64.9702,55.998154,48.875507,61.136028,DR_RS07035,65.550891,55.336563000000005
gene-DR_RS10695|DR_RS10695,41.061031,39.931236,33.199226,155.954849,94.78125,166.461502,DR_RS10695,38.063831,139.065867
gene-DR_RS14320|DR_RS14320,1088.396484,651.373779,673.955444,677.02887,510.549042,349.804108,DR_RS14320,804.5752356666667,512.4606733333334
gene-DR_RS12190|DR_RS12190,850.370728,747.658386,823.726562,467.298981,556.215393,374.717255,DR_RS12190,807.2518919999999,466.07720966666665
gene-DR_RS11850|DR_RS11850,11.913882,25.913612,22.805004,27.936157,36.369614,51.544479,DR_RS11850,20.210832666666665,38.616749999999996
gene-DR_RS08105|rph,45.634102,51.696453,50.383156,53.811348,57.25005,74.299278,DR_RS08105,49.23790366666666,61.786892
gene-DR_RS16175|DR_RS16175,34.713634,32.465954,36.26392,45.483528,40.788498,59.846794,DR_RS16175,34.481169333333334,48.706273333333336
gene-DR_RS11405|DR_RS11405,42.200279,45.195038,37.945553,71.712814,59.984047,63.943542,DR_RS11405,41.78029,65.21346766666666
gene-DR_RS02190|hisB,28.288511,17.466354,18.220024,29.504915,31.835602,47.601963,DR_RS02190,21.324962999999997,36.31416
gene-DR_RS08510|DR_RS08510,83.402863,71.15789,80.125351,122.43824,111.509148,121.130791,DR_RS08510,78.22870133333332,118.359393
gene-DR_RS16655|DR_RS16655,11.888819,10.195549,11.348574,14.256882,20.152748,61.753777,DR_RS16655,11.144314,32.054469000000005
gene-DR_RS16830|DR_RS16830,15.912889,13.702415,12.960197,21.809072,25.477634,41.3237,DR_RS16830,14.191833666666668,29.536801999999998
gene-DR_RS14765|DR_RS14765,509.22522,330.745361,408.66922,763.942017,481.102509,442.424561,DR_RS14765,416.21326700000003,562.4896956666666
gene-DR_RS06920|DR_RS06920,52.71307,53.378922,57.37162,59.172363,60.403488,40.139866,DR_RS06920,54.48787066666667,53.23857233333333
gene-DR_RS05580|raiA,1145.53772,1965.288086,2053.380127,1331.474243,1575.844849,1009.264465,DR_RS05580,1721.4019776666664,1305.5278523333334
gene-DR_RS06210|DR_RS06210,73.930611,55.810909,62.51326,82.983551,76.755936,65.681702,DR_RS06210,64.08492666666668,75.14039633333333
gene-DR_RS01810|ccsA,436.666443,434.161957,544.205933,272.066925,329.467377,259.719086,DR_RS01810,471.678111,287.0844626666667
gene-DR_RS04540|DR_RS04540,22.164457,19.565414,22.064098,54.250801,35.211906,41.027958,DR_RS04540,21.264656333333335,43.496888333333324
gene-DR_RS13785|rfbA,134.902298,102.81395,100.437294,135.380051,129.762222,131.542191,DR_RS13785,112.71784733333334,132.22815466666668
gene-DR_RS01155|DR_RS01155,93.077278,87.930283,90.139992,90.461525,99.575127,118.200493,DR_RS01155,90.38251766666667,102.745715
gene-DR_RS07890|DR_RS07890,520.223206,427.15094,462.275269,593.016235,372.521454,259.443817,DR_RS07890,469.8831383333333,408.3271686666667
gene-DR_RS00700|DR_RS00700,27.444651,20.143023,16.83049,65.935349,46.481167,92.534988,DR_RS00700,21.472721333333336,68.317168
gene-DR_RS14850|DR_RS14850,31.587442,35.05854,37.34507,40.329338,30.917786,51.43845,DR_RS14850,34.663683999999996,40.89519133333334
gene-DR_RS09475|DR_RS09475,24.221777,26.164536,21.893534,48.103359,41.310013,44.654518,DR_RS09475,24.093282333333335,44.68929666666667
gene-DR_RS10065|DR_RS10065,47.557198,31.566301,31.704842,92.579987,64.331253,112.519783,DR_RS10065,36.94278033333333,89.81034100000001
gene-DR_RS04655|DR_RS04655,121.752617,101.728577,114.50441,201.15184,127.848618,126.414688,DR_RS04655,112.66186800000001,151.80504866666666
gene-DR_RS13070|DR_RS13070,61.563244,49.887695,48.317417,124.998558,105.781136,155.377625,DR_RS13070,53.25611866666667,128.71910633333334
gene-DR_RS09230|DR_RS09230,4.192029,4.056428,3.566215,17.134781,12.836079,22.124569,DR_RS09230,3.938224,17.365143
gene-DR_RS12185|DR_RS12185,19.148624,16.62443,12.542453,28.230488,28.888622,36.558064,DR_RS12185,16.105169,31.225724666666668
gene-DR_RS09260|gcvH,375.0802,616.155334,606.421936,383.740021,570.222961,380.013824,DR_RS09260,532.55249,444.6589353333334
gene-DR_RS02870|DR_RS02870,58.011181,35.732159,37.341614,95.078819,98.433968,105.835281,DR_RS02870,43.69498466666667,99.78268933333334
gene-DR_RS05785|DR_RS05785,31.740606,34.476753,32.012081,79.259933,96.4011,145.114868,DR_RS05785,32.74314666666667,106.92530033333333
gene-DR_RS03555|DR_RS03555,140.49263,76.655228,74.074829,189.494156,83.146591,71.205788,DR_RS03555,97.07422899999999,114.61551166666668
gene-DR_RS04875|DR_RS04875,6.667487,4.149418,4.791703,23.792587,12.075053,20.232983,DR_RS04875,5.202869333333333,18.700207666666667
gene-DR_RS11360|DR_RS11360,21.419708,53.540112,50.954937,68.387276,79.412506,182.641479,DR_RS11360,41.97158566666667,110.147087
gene-DR_RS00705|DR_RS00705,52.014042,34.358265,36.443672,86.026581,70.202087,118.523987,DR_RS00705,40.938659666666666,91.58421833333334
gene-DR_RS04895|DR_RS04895,8.529243,13.768107,14.925488,20.363699,25.002882,41.966892,DR_RS04895,12.407612666666667,29.111157666666667
gene-DR_RS09320|secD,496.713013,297.823303,329.786774,326.32373,261.563599,206.720139,DR_RS09320,374.77436333333327,264.86915600000003
gene-DR_RS14020|DR_RS14020,12.732998,5.031355,6.487998,6.177125,4.455203,17.857513,DR_RS14020,8.084117,9.496613666666667
gene-DR_RS14750|DR_RS14750,773.437683,313.264771,339.693024,1007.240051,551.20166,428.82486,DR_RS14750,475.4651593333333,662.4221903333333
gene-DR_RS08565|DR_RS08565,30.743626,22.811678,20.860037,55.497143,44.799206,83.183525,DR_RS08565,24.805113666666667,61.159957999999996
gene-DR_RS09025|DR_RS09025,24.294825,13.154566,13.891682,101.353386,76.186928,183.32753,DR_RS09025,17.113691,120.28928133333334
gene-DR_RS15375|DR_RS15375,144.952118,178.599457,184.613647,128.254333,130.478043,139.1642,DR_RS15375,169.38840733333333,132.632192
gene-DR_RS05700|radA,17.265747,17.640907,19.282089,46.287983,41.490807,49.217686,DR_RS05700,18.062914333333335,45.66549199999999
gene-DR_RS11140|leuS,77.715424,62.686279,64.172142,136.565582,135.40889,149.800323,DR_RS11140,68.19128166666667,140.59159833333334
gene-DR_RS12765|DR_RS12765,19.038168,17.250395,17.510893,38.247303,34.957027,52.605473,DR_RS12765,17.933151999999996,41.936601
gene-DR_RS14250|DR_RS14250,94.601135,72.345016,74.717758,110.737236,80.212379,74.223,DR_RS14250,80.55463633333333,88.39087166666667
gene-DR_RS04450|crtI,27.736845,15.920734,17.612516,32.508812,26.606306,48.101479,DR_RS04450,20.423365,35.73886566666666
gene-DR_RS04360|DR_RS04360,34.231125,23.280783,23.551985,35.983334,28.382544,33.91481,DR_RS04360,27.021297666666666,32.760229333333335
gene-DR_RS06375|lysS,31.403748,15.830688,15.135217,101.697502,90.058876,201.595673,DR_RS06375,20.789884333333333,131.11735033333332
gene-DR_RS00495|DR_RS00495,25.206995,21.70352,22.367882,36.037464,34.180721,74.205139,DR_RS00495,23.092799000000003,48.141108
gene-DR_RS07760|ilvB,926.578003,447.49408,456.189972,769.534851,432.266571,358.926758,DR_RS07760,610.0873516666667,520.2427266666667
gene-DR_RS00975|DR_RS00975,108.80143,92.489998,98.989677,128.542908,123.451698,144.836014,DR_RS00975,100.09370166666668,132.27687333333333
gene-DR_RS06840|DR_RS06840,21.511709,18.002028,19.504396,40.392132,34.409737,28.728136,DR_RS06840,19.672711,34.51000166666666
gene-DR_RS06055|DR_RS06055,151.043884,74.412743,70.109283,192.107391,108.052925,123.902847,DR_RS06055,98.52197000000001,141.35438766666667
gene-DR_RS07660|DR_RS07660,154.16571,75.337074,80.082176,33.678783,19.887619,22.1824,DR_RS07660,103.19498666666668,25.24960066666667
gene-DR_RS07555|dxs,185.892899,134.223373,135.413971,185.637573,129.51886,148.2883,DR_RS07555,151.84341433333333,154.48157766666665
gene-DR_RS02405|DR_RS02405,36.630123,38.602921,37.291565,72.475235,54.398388,81.33989,DR_RS02405,37.508203,69.40450433333332
gene-DR_RS07620|DR_RS07620,30.940786,26.878237,26.056599,50.74424,42.688141,76.16642,DR_RS07620,27.958540666666664,56.53293366666666
gene-DR_RS12800|DR_RS12800,14.16237,11.982341,11.36139,24.50666,16.614292,31.478626,DR_RS12800,12.502033666666668,24.199859333333336
gene-DR_RS02245|DR_RS02245,2186.645752,1598.185425,1762.274414,1536.671387,1349.784668,1128.766602,DR_RS02245,1849.035197,1338.4075523333333
gene-DR_RS00560|DR_RS00560,17.882805,10.573771,9.930684,46.551186,26.786455,46.802814,DR_RS00560,12.795753333333332,40.046818333333334
gene-DR_RS15700|DR_RS15700,2.161193,1.542103,0.848708,5.941895,6.75807,27.139727,DR_RS15700,1.5173346666666667,13.279897333333333
gene-DR_RS13310|xseB,5.029247,5.671012,5.318668,25.627401,33.290401,93.53334,DR_RS13310,5.339642333333333,50.817047333333335
gene-DR_RS12910|ruvX,7.571259,12.089676,8.537371,39.47105,44.804039,89.737251,DR_RS12910,9.399435333333335,58.00411333333333
gene-DR_RS01275|DR_RS01275,37.287998,28.2509,34.015133,63.009007,54.259811,106.952309,DR_RS01275,33.184677,74.74037566666667
gene-DR_RS09105|DR_RS09105,414.235504,275.086731,287.86499,576.055664,353.799469,301.744019,DR_RS09105,325.72907499999997,410.53305066666667
gene-DR_RS12835|rpoZ,48.505833,81.804169,71.16851,68.505386,116.101303,192.020142,DR_RS12835,67.159504,125.54227700000001
gene-DR_RS06535|DR_RS06535,33.836185,29.367832,30.657709,101.615913,100.578255,186.879547,DR_RS06535,31.287242000000003,129.69123833333333
gene-DR_RS13285|DR_RS13285,56.170456,44.227398,47.304447,103.82621,113.222061,235.769516,DR_RS13285,49.23410033333334,150.93926233333335
gene-DR_RS04800|DR_RS04800,11.651942,9.079162,9.801474,28.842028,27.654282,76.469902,DR_RS04800,10.177526,44.32207066666666
gene-DR_RS13610|DR_RS13610,1284.339233,1043.220947,1185.526489,984.751953,979.872925,722.558533,DR_RS13610,1171.0288896666668,895.7278036666667
gene-DR_RS12850|DR_RS12850,129.020966,96.387169,92.485397,173.015717,120.42141,169.885757,DR_RS12850,105.96451066666667,154.44096133333332
gene-DR_RS08260|xpt,53.055668,39.984867,34.48251,167.390823,128.100967,232.700851,DR_RS08260,42.50768166666666,176.0642136666667
gene-DR_RS13580|DR_RS13580,0.541099,0.603188,0.309763,0.627372,1.301047,3.033191,DR_RS13580,0.4846833333333333,1.6538700000000002
gene-DR_RS02315|DR_RS02315,18.57444,23.360556,16.632301,43.509228,55.270332,115.493942,DR_RS02315,19.52243233333333,71.42450066666667
gene-DR_RS00800|DR_RS00800,46.504436,41.50639,42.809933,67.048355,52.976284,107.973099,DR_RS00800,43.60691966666667,75.99924600000001
gene-DR_RS08775|gdhA,101.605263,56.132111,47.604664,122.148087,99.694824,118.852486,DR_RS08775,68.447346,113.56513233333334
gene-DR_RS02410|DR_RS02410,67.465126,48.003006,45.518978,75.889305,47.821423,53.03566,DR_RS02410,53.66237,58.91546266666666
gene-DR_RS04400|ssrA,11560.40918,88159.03125,82257.984375,31212.048828,63508.921875,54176.855469,DR_RS04400,60659.14160166667,49632.608724
gene-DR_RS04770|DR_RS04770,79.048714,57.179657,51.292835,109.554207,97.139053,91.747604,DR_RS04770,62.50706866666667,99.48028800000002
gene-DR_RS06560|DR_RS06560,15.338175,6.689661,8.407226,25.689762,10.419511,16.335876,DR_RS06560,10.145020666666667,17.481716333333335
gene-DR_RS08385|DR_RS08385,84.883499,61.280285,59.641796,197.600006,189.512634,213.166153,DR_RS08385,68.60186,200.092931
gene-DR_RS10410|DR_RS10410,8.91708,5.880464,6.414792,19.905867,9.560132,24.29253,DR_RS10410,7.0707786666666665,17.919509666666666
gene-DR_RS14815|DR_RS14815,13.635552,10.987527,11.849161,25.089333,19.311874,45.914288,DR_RS14815,12.157413333333333,30.105165
gene-DR_RS02390|treY,19.162889,14.054984,15.234525,42.492817,36.999359,84.266838,DR_RS02390,16.15079933333333,54.586338000000005
gene-DR_RS14255|DR_RS14255,21.309561,23.037291,23.876049,24.407618,24.406048,35.681515,DR_RS14255,22.740966999999998,28.165060333333333
gene-DR_RS15910|radR,4.477911,4.052294,4.443137,22.426126,24.088444,69.401375,DR_RS15910,4.324447333333333,38.63864833333333
gene-DR_RS11185|DR_RS11185,673.385681,537.778687,565.743042,621.262085,439.454834,386.638336,DR_RS11185,592.30247,482.45175166666667
gene-DR_RS15965|DR_RS15965,0.553731,0.623275,0.176887,5.402259,7.550097,20.651049,DR_RS15965,0.45129766666666665,11.201135
gene-DR_RS05925|DR_RS05925,156.94455,90.794571,86.242096,210.089203,187.338165,272.256836,DR_RS05925,111.32707233333333,223.228068
gene-DR_RS16360|DR_RS16360,61.504353,40.695606,43.754662,94.09169,87.985229,157.604752,DR_RS16360,48.65154033333334,113.22722366666666
gene-DR_RS04335|DR_RS04335,6.234229,7.27455,6.410831,18.040182,15.9491,43.109219,DR_RS04335,6.639869999999999,25.699500333333333
